q_dot_occ,q_dot_ac,q_dot_vent,q_dot_solar,T_amb,T_b,Phi
20.8,40,33.54,0.2,10.8,17.79,0.25
20.8,40,34.05,3.5,10.5,17.59,0.25
20.8,40,34.06,9.4,10.5,17.6,0.25
0,40,0,13.9,9.5,22.44,0.25
20.8,40,38.42,16.3,7.9,15.9,0.25
20.8,40,38.92,30.3,7.6,15.71,0.25
20.8,40,41.88,12.9,5.8,14.52,0.25
20.8,40,46.04,8,3.2,12.79,0.25
0,40,0,2.3,3.4,22.43,0.25
20.8,40,46.51,0,2.9,12.59,0.25
20.8,40,43.81,0,4.6,13.73,0.25
20.8,40,43.81,0,4.6,13.73,0.18
20.8,40,43.97,0,4.5,13.66,0.18
0,40,0,0,4.8,22.43,0.18
0,40,0,0,4.3,22.43,0.18
0,40,0,0,3.6,22.43,0.18
0,40,0,0,3.8,22.43,0.18
0,40,0,0,3.3,22.43,0.18
0,40,0,0,3.6,22.43,0.18
0,40,0,0,3.5,22.43,0.25
0,40,0,0,2.7,22.43,0.25
0,40,0,0,1.1,22.43,0.25
0,40,0,0,2.5,22.43,0.25
20.8,40,48.69,0,1.5,11.64,0.25
20.8,40,46.83,1.2,2.7,12.46,0.25
20.8,40,45.73,27.5,3.4,12.93,0.25
20.8,40,44.14,56.3,4.4,13.6,0.25
0,40,0,31.8,4.5,22.43,0.25
20.8,40,44.61,16.8,4.1,13.39,0.25
20.8,40,43.98,16.5,4.5,13.66,0.25
20.8,40,44.3,13.4,4.3,13.53,0.25
20.8,40,44.45,8.4,4.2,13.46,0.25
0,40,0,2.6,3.6,22.43,0.25
20.8,40,45.73,0,3.4,12.93,0.25
20.8,40,45.88,0,3.3,12.86,0.18
20.8,40,46.51,0,2.9,12.59,0.18
20.8,40,48.69,0,1.5,11.64,0.18
0,40,0,0,0.3,22.43,0.18
0,40,0,0,1.2,22.43,0.18
0,40,0,0,1.6,22.43,0.18
0,40,0,0,4,22.43,0.18
0,40,0,0,7.4,22.44,0.18
0,40,0,0,9.5,22.44,0.25
0,40,0,0,9.5,22.44,0.25
0,40,0,0,9.8,22.44,0.25
0,40,0,0,9.4,22.44,0.25
0,40,0,0,9.5,22.44,0.25
20.8,40,35.91,0,9.4,16.88,0.25
20.8,40,36.59,0.2,9,16.62,0.25
20.8,40,37.26,9,8.6,16.36,0.25
20.8,40,36.59,9.9,9,16.62,0.25
0,40,0,28.8,8.8,22.44,0.25
20.8,40,36.09,40.7,9.3,16.82,0.25
20.8,40,36.42,44.8,9.1,16.69,0.25
20.8,40,36.42,45.7,9.1,16.69,0.25
20.8,40,37.09,39.7,8.7,16.43,0.25
0,40,0,6.8,8.7,22.44,0.25
20.8,40,37.92,0.2,8.2,16.1,0.18
20.8,40,38.09,0,8.1,16.04,0.18
20.8,40,38.75,0,7.7,15.77,0.18
20.8,40,39.58,0,7.2,15.45,0.18
0,40,0,0,7.6,22.44,0.18
0,40,0,0,7.5,22.44,0.18
0,40,0,0,7.4,22.43,0.18
0,40,0,0,7.2,22.43,0.18
0,40,0,0,7.2,22.43,0.25
0,40,0,0,7.3,22.43,0.25
0,40,0,0,7.3,22.44,0.25
0,40,0,0,7.7,22.44,0.25
0,40,0,0,8,22.44,0.25
0,40,0,0,7.8,22.44,0.25
20.8,40,39.08,0,7.5,15.64,0.25
20.8,40,38.09,1.2,8.1,16.04,0.25
20.8,40,38.09,9.7,8.1,16.04,0.25
20.8,40,37.26,20.9,8.6,16.36,0.25
0,40,0,29.1,8.9,22.44,0.25
20.8,40,38.26,17,8,15.97,0.25
20.8,40,36.25,16.7,9.2,16.75,0.25
20.8,40,37.09,13.9,8.7,16.43,0.25
20.8,40,37.25,8.7,8.6,16.36,0.25
0,40,0,5.4,8.3,22.44,0.18
20.8,40,38.09,0.2,8.1,16.04,0.18
20.8,40,38.75,0,7.7,15.77,0.18
20.8,40,39.41,0,7.3,15.51,0.18
20.8,40,39.74,0,7.1,15.38,0.18
0,40,0,0,7.2,22.43,0.18
0,40,0,0,6.8,22.43,0.18
0,40,0,0,6.2,22.43,0.18
0,40,0,0,5.4,22.43,0.25
0,40,0,0,5.4,22.43,0.25
0,40,0,0,4.7,22.43,0.25
0,40,0,0,4.3,22.43,0.25
0,40,0,0,4,22.43,0.25
0,40,0,0,3.1,22.43,0.25
0,40,0,0,2.6,22.43,0.25
20.8,40,48.07,0,1.9,11.92,0.25
20.8,40,48.38,1.4,1.7,11.78,0.25
20.8,40,48.69,28.3,1.5,11.64,0.25
20.8,40,45.89,54.9,3.3,12.86,0.25
0,40,0,69.7,4.3,22.44,0.25
20.8,40,42.85,79.7,5.2,14.13,0.25
20.8,40,42.21,74,5.6,14.39,0.25
20.8,40,42.21,73,5.6,14.39,0.25
20.8,40,42.85,58.5,5.2,14.13,0.18
0,40,0,22.6,4.5,22.43,0.18
20.8,40,45.25,0.5,3.7,13.13,0.18
20.8,40,48.54,0,1.6,11.71,0.18
20.8,40,46.51,0,2.9,12.59,0.18
20.8,40,48.07,0,1.9,11.92,0.18
0,40,0,0,1.2,22.43,0.18
0,40,0,0,0.5,22.43,0.18
0,40,0,0,0.3,22.43,0.25
0,40,0,0,0,22.43,0.25
0,40,0,0,0.7,22.43,0.25
0,40,0,0,-0.2,22.43,0.25
0,40,0,0,0.7,22.43,0.25
0,40,0,0,1.8,22.43,0.25
0,40,0,0,1.6,22.43,0.25
0,40,0,0,2,22.43,0.25
20.8,40,47.92,0,2,11.98,0.25
20.8,40,47.61,0.5,2.2,12.12,0.25
20.8,40,46.36,4.5,3,12.66,0.25
20.8,40,45.57,10.7,3.5,12.99,0.25
0,40,0,15.4,2.9,22.43,0.25
20.8,40,45.88,17.7,3.3,12.86,0.25
20.8,40,45.09,33.3,3.8,13.19,0.25
20.8,40,44.3,14.6,4.3,13.53,0.18
20.8,40,43.33,9.4,4.9,13.93,0.18
0,40,0,3.3,5.1,22.43,0.18
20.8,40,42.36,0.2,5.5,14.33,0.18
20.8,40,42.04,0,5.7,14.46,0.18
20.8,40,41.55,0,6,14.66,0.18
20.8,40,41.06,0,6.3,14.85,0.18
0,40,0,0,6.5,22.43,0.18
0,40,0,0,6.4,22.43,0.25
0,40,0,0,6,22.43,0.25
0,40,0,0,5.6,22.43,0.25
0,40,0,0,5.3,22.43,0.25
0,40,0,0,5.2,22.43,0.25
0,40,0,0,5.4,22.43,0.25
0,40,0,0,5.7,22.43,0.25
0,40,0,0,6,22.43,0.25
0,40,0,0,5.7,22.43,0.25
20.8,40,41.71,0,5.9,14.59,0.25
20.8,40,42.04,0.5,5.7,14.46,0.25
20.8,40,41.87,4.7,5.8,14.52,0.25
20.8,40,41.06,11.1,6.3,14.85,0.25
0,40,0,15.8,6.8,22.43,0.25
20.8,40,39.75,36,7.1,15.38,0.25
20.8,40,39.42,33.8,7.3,15.51,0.18
20.8,40,39.42,28.9,7.3,15.51,0.18
20.8,40,39.25,18.9,7.4,15.58,0.18
0,40,0,6.8,7.1,22.43,0.18
20.8,40,39.91,0.5,7,15.31,0.18
20.8,40,40.07,0,6.9,15.25,0.18
20.8,40,39.91,0,7,15.31,0.18
20.8,40,40.07,0,6.9,15.25,0.18
0,40,0,0,6.9,22.43,0.25
0,40,0,0,6.7,22.43,0.25
0,40,0,0,6.6,22.43,0.25
0,40,0,0,6.7,22.43,0.25
0,40,0,0,6.6,22.43,0.25
0,40,0,0,6.8,22.43,0.25
0,40,0,0,6.7,22.43,0.25
0,40,0,0,6.5,22.43,0.25
0,40,0,0,6.2,22.43,0.25
0,40,0,0,6,22.43,0.25
20.8,40,41.22,0,6.2,14.79,0.25
20.8,40,41.39,0.7,6.1,14.72,0.25
20.8,40,41.22,5,6.2,14.79,0.25
20.8,40,40.9,23.4,6.4,14.92,0.25
0,40,0,31.5,7,22.44,0.25
20.8,40,39.25,35.5,7.4,15.58,0.18
20.8,40,39.08,18.1,7.5,15.64,0.18
20.8,40,38.42,29.4,7.9,15.9,0.18
20.8,40,38.59,19.4,7.8,15.84,0.18
0,40,0,7,6.9,22.43,0.18
20.8,40,41.22,0.5,6.2,14.79,0.18
20.8,40,42.04,0,5.7,14.46,0.18
20.8,40,42.52,0,5.4,14.26,0.18
20.8,40,42.2,0,5.6,14.39,0.25
0,40,0,0,5.6,22.43,0.25
0,40,0,0,5.7,22.43,0.25
0,40,0,0,5.9,22.43,0.25
0,40,0,0,6.1,22.43,0.25
0,40,0,0,6.6,22.43,0.25
0,40,0,0,6.7,22.43,0.25
0,40,0,0,6.9,22.43,0.25
0,40,0,0,6.4,22.43,0.25
0,40,0,0,6.1,22.43,0.25
0,40,0,0,5.4,22.43,0.25
20.8,40,41.22,0,6.2,14.79,0.25
20.8,40,40.4,0.7,6.7,15.12,0.25
20.8,40,39.75,12.6,7.1,15.38,0.25
20.8,40,39.09,23.6,7.5,15.64,0.25
0,40,0,32.1,7.7,22.44,0.18
20.8,40,38.92,27.6,7.6,15.71,0.18
20.8,40,39.09,18.3,7.5,15.64,0.18
20.8,40,38.76,30,7.7,15.77,0.18
20.8,40,38.59,19.9,7.8,15.84,0.18
0,40,0,7.5,7.7,22.44,0.18
20.8,40,38.75,0.5,7.7,15.77,0.18
20.8,40,38.25,0,8,15.97,0.18
20.8,40,37.76,0,8.3,16.17,0.25
20.8,40,37.92,0,8.2,16.1,0.25
0,40,0,0,8.9,22.44,0.25
0,40,0,0,8.8,22.44,0.25
0,40,0,0,9,22.44,0.25
0,40,0,0,8.8,22.44,0.25
0,40,0,0,8.8,22.44,0.25
0,40,0,0,8.7,22.44,0.25
0,40,0,0,8.7,22.44,0.25
0,40,0,0,9,22.44,0.25
0,40,0,0,8.7,22.44,0.25
0,40,0,0,8.9,22.44,0.25
20.8,40,36.92,0,8.8,16.49,0.25
20.8,40,36.92,0.7,8.8,16.49,0.25
20.8,40,36.59,5.5,9,16.62,0.25
20.8,40,36.08,24.2,9.3,16.82,0.18
0,40,0,16.5,9.6,22.44,0.18
20.8,40,34.91,37.8,10,17.27,0.18
20.8,40,35.07,27.3,9.9,17.21,0.18
20.8,40,35.24,15.7,9.8,17.14,0.18
20.8,40,35.24,45.6,9.8,17.14,0.18
0,40,0,18.6,9.8,22.44,0.18
20.8,40,34.73,0.7,10.1,17.34,0.18
20.8,40,35.24,0,9.8,17.14,0.25
20.8,40,34.9,0,10,17.27,0.25
20.8,40,36.42,0,9.1,16.69,0.25
0,40,0,0,8.1,22.44,0.25
0,40,0,0,7.8,22.44,0.25
0,40,0,0,8,22.44,0.25
0,40,0,0,7.4,22.44,0.25
0,40,0,0,7.3,22.44,0.25
0,40,0,0,7.4,22.44,0.25
0,40,0,0,7.4,22.44,0.25
0,40,0,0,7.3,22.44,0.25
0,40,0,0,7.3,22.44,0.25
0,40,0,0,8,22.44,0.25
20.8,40,45.25,0,3.7,13.13,0.25
20.8,40,41.22,1.4,6.2,14.79,0.25
20.8,40,40.57,36,6.6,15.05,0.18
20.8,40,40.74,68.7,6.5,14.99,0.18
0,40,0,37.3,6.7,22.44,0.18
20.8,40,40.08,69.6,6.9,15.25,0.18
20.8,40,40.08,82.3,6.9,15.25,0.18
20.8,40,40.9,62.4,6.4,14.92,0.18
20.8,40,41.23,48,6.2,14.79,0.18
0,40,0,19.7,6,22.44,0.18
20.8,40,41.87,1.4,5.8,14.52,0.25
20.8,40,43.81,0,4.6,13.73,0.25
20.8,40,42.69,0,5.3,14.19,0.25
20.8,40,42.69,0,5.3,14.19,0.25
0,40,0,0,4.2,22.43,0.25
0,40,0,0,3.2,22.43,0.25
0,40,0,0,3.2,22.43,0.25
0,40,0,0,3.7,22.43,0.25
0,40,0,0,3.8,22.43,0.25
0,40,0,0,3.5,22.43,0.25
0,40,0,0,4.2,22.43,0.25
0,40,0,0,4.1,22.43,0.25
0,40,0,0,4.1,22.43,0.25
0,40,0,0,4.3,22.43,0.25
20.8,40,44.29,0,4.3,13.53,0.25
20.8,40,46.51,3,2.9,12.59,0.18
20.8,40,44.77,14.2,4,13.33,0.18
20.8,40,45.25,25.7,3.7,13.13,0.18
0,40,0,34.3,4,22.43,0.18
20.8,40,42.69,38.3,5.3,14.19,0.18
20.8,40,42.85,37.2,5.2,14.13,0.18
20.8,40,44.14,32.1,4.4,13.6,0.18
20.8,40,47.76,22,2.1,12.05,0.18
0,40,0,8.9,2.7,22.43,0.25
20.8,40,46.36,0.9,3,12.66,0.25
20.8,40,46.36,0,3,12.66,0.25
20.8,40,45.57,0,3.5,12.99,0.25
20.8,40,44.93,0,3.9,13.26,0.25
0,40,0,0,4.1,22.43,0.25
0,40,0,0,2.9,22.43,0.25
0,40,0,0,2.2,22.43,0.25
0,40,0,0,2.3,22.43,0.25
0,40,0,0,4.4,22.43,0.25
0,40,0,0,3.6,22.43,0.25
0,40,0,0,3.4,22.43,0.25
0,40,0,0,2.4,22.43,0.25
0,40,0,0,0.8,22.43,0.25
0,40,0,0,1.5,22.43,0.25
20.8,40,49,0,1.3,11.51,0.18
20.8,40,47.92,3.2,2,11.98,0.18
20.8,40,46.67,14.8,2.8,12.52,0.18
20.8,40,45.26,66.3,3.7,13.13,0.18
0,40,0,17.7,0.2,22.43,0.18
20.8,40,49.91,20.3,0.7,11.1,0.18
20.8,40,49.3,37.6,1.1,11.37,0.18
20.8,40,46.99,32.6,2.6,12.39,0.18
20.8,40,49.45,22.6,1,11.3,0.25
0,40,0,15.2,2.4,22.43,0.25
20.8,40,47.61,0.9,2.2,12.12,0.25
20.8,40,49.3,0,1.1,11.37,0.25
20.8,40,48.23,0,1.8,11.85,0.25
20.8,40,50.81,0,0.1,10.69,0.25
0,40,0,0,0.6,22.43,0.25
0,40,0,0,1.9,22.43,0.25
0,40,0,0,2.2,22.43,0.25
0,40,0,0,2.1,22.43,0.25
0,40,0,0,2.4,22.43,0.25
0,40,0,0,2.2,22.43,0.25
0,40,0,0,0.8,22.43,0.25
0,40,0,0,1.9,22.43,0.25
0,40,0,0,0.9,22.43,0.25
0,40,0,0,0.9,22.43,0.18
20.8,40,49.46,0,1,11.3,0.18
20.8,40,49.46,1.8,1,11.3,0.18
20.8,40,50.67,38.4,0.2,10.76,0.18
20.8,40,48.07,26.8,1.9,11.92,0.18
0,40,0,35.6,2,22.43,0.18
20.8,40,47.76,39.6,2.1,12.05,0.18
20.8,40,46.83,54.9,2.7,12.46,0.18
20.8,40,47.61,33.2,2.2,12.12,0.25
20.8,40,47.14,37.4,2.5,12.32,0.25
0,40,0,32.7,0.9,22.43,0.25
20.8,40,50.21,1.9,0.5,10.96,0.25
20.8,40,50.82,0,0.1,10.69,0.25
20.8,40,50.52,0,0.3,10.82,0.25
20.8,40,52.3,0,-0.9,10,0.25
0,40,0,0,-0.4,22.43,0.25
0,40,0,0,-1.5,22.43,0.25
0,40,0,0,-0.6,22.43,0.25
0,40,0,0,-0.7,22.43,0.25
0,40,0,0,-2.6,22.43,0.25
0,40,0,0,-2.9,22.43,0.25
0,40,0,0,-2.9,22.43,0.25
0,40,0,0,-5.4,22.43,0.25
0,40,0,0,-4.4,22.43,0.18
0,40,0,0,-3.3,22.43,0.18
20.8,40,58.84,0,-5.7,6.56,0.18
20.8,40,55.03,4.2,-2.8,8.66,0.18
20.8,40,53.18,49,-1.5,9.58,0.18
20.8,40,53.33,75.7,-1.6,9.51,0.18
0,40,0,91.1,1.1,22.44,0.18
20.8,40,47.3,93.8,2.4,12.25,0.18
20.8,40,46.05,87.3,3.2,12.79,0.25
20.8,40,46.05,88.5,3.2,12.79,0.25
20.8,40,46.52,53.2,2.9,12.59,0.25
0,40,0,42.7,2.2,22.44,0.25
20.8,40,48.69,2.8,1.5,11.64,0.25
20.8,40,49.61,0,0.9,11.23,0.25
20.8,40,49.45,0,1,11.3,0.25
20.8,40,50.06,0,0.6,11.03,0.25
0,40,0,0,-0.2,22.43,0.25
0,40,0,0,0.5,22.43,0.25
0,40,0,0,-0.6,22.43,0.25
0,40,0,0,1,22.43,0.25
0,40,0,0,0.8,22.43,0.25
0,40,0,0,-0.4,22.43,0.25
0,40,0,0,0.2,22.43,0.25
0,40,0,0,-0.1,22.43,0.18
0,40,0,0,0.1,22.43,0.18
0,40,0,0,-0.7,22.43,0.18
20.8,40,53.03,0,-1.4,9.65,0.18
20.8,40,53.46,4.9,-1.7,9.44,0.18
20.8,40,52.45,49.3,-1,9.93,0.18
20.8,40,50.07,72.8,0.6,11.03,0.18
0,40,0,91.5,1.9,22.44,0.18
20.8,40,48.69,84,1.5,11.64,0.25
20.8,40,45.1,78.6,3.8,13.2,0.25
20.8,40,48.54,75.8,1.6,11.71,0.25
20.8,40,47.92,57,2,11.98,0.25
0,40,0,23.4,2.8,22.43,0.25
20.8,40,47.92,2.1,2,11.98,0.25
20.8,40,49.76,0,0.8,11.17,0.25
20.8,40,52.01,0,-0.7,10.13,0.25
20.8,40,50.97,0,0,10.62,0.25
0,40,0,0,-1.5,22.43,0.25
0,40,0,0,-0.2,22.43,0.25
0,40,0,0,0.6,22.43,0.25
0,40,0,0,0.6,22.43,0.25
0,40,0,0,-0.1,22.43,0.25
0,40,0,0,-0.8,22.43,0.25
0,40,0,0,-2.1,22.43,0.18
0,40,0,0,-2.1,22.43,0.18
0,40,0,0,-2.9,22.43,0.18
0,40,0,0,-3.6,22.43,0.18
20.8,40,55.58,0,-3.2,8.38,0.18
20.8,40,55.58,5.3,-3.2,8.38,0.18
20.8,40,51.71,47.6,-0.5,10.27,0.18
20.8,40,49,76.3,1.3,11.51,0.18
0,40,0,89.9,2.1,22.44,0.25
20.8,40,46.99,96.5,2.6,12.39,0.25
20.8,40,46.52,89.2,2.9,12.59,0.25
20.8,40,46.99,91,2.6,12.39,0.25
20.8,40,47.46,64.5,2.3,12.19,0.25
0,40,0,11.3,1,22.43,0.25
20.8,40,50.67,1.9,0.2,10.76,0.25
20.8,40,51.86,0,-0.6,10.2,0.25
20.8,40,52.74,0,-1.2,9.79,0.25
20.8,40,53.03,0,-1.4,9.65,0.25
0,40,0,0,-2,22.43,0.25
0,40,0,0,-2.8,22.43,0.25
0,40,0,0,-3.9,22.43,0.25
0,40,0,0,-3.8,22.43,0.25
0,40,0,0,-4.3,22.43,0.25
0,40,0,0,-4.6,22.43,0.18
0,40,0,0,-4.7,22.43,0.18
0,40,0,0,-5.3,22.43,0.18
0,40,0,0,-5.2,22.43,0.18
0,40,0,0,-5,22.43,0.18
20.8,40,58.09,0,-5.1,7,0.18
20.8,40,57.06,5.3,-4.3,7.59,0.18
20.8,40,54.61,49,-2.5,8.88,0.18
20.8,40,52.6,79.4,-1.1,9.86,0.25
0,40,0,94.9,0.4,22.44,0.25
20.8,40,49.46,97.8,1,11.3,0.25
20.8,40,49.16,90.6,1.2,11.44,0.25
20.8,40,49.31,92.6,1.1,11.37,0.25
20.8,40,49.46,82.2,1,11.3,0.25
0,40,0,51.3,0,22.44,0.25
20.8,40,52.59,3.7,-1.1,9.86,0.25
20.8,40,54.46,0,-2.4,8.95,0.25
20.8,40,54.32,0,-2.3,9.02,0.25
20.8,40,53.75,0,-1.9,9.3,0.25
0,40,0,0,-3.2,22.43,0.25
0,40,0,0,-3.9,22.43,0.25
0,40,0,0,-4.1,22.43,0.25
0,40,0,0,-4.5,22.43,0.25
0,40,0,0,-5.6,22.43,0.18
0,40,0,0,-5.4,22.43,0.18
0,40,0,0,-6,22.43,0.18
0,40,0,0,-6.2,22.43,0.18
0,40,0,0,-7,22.43,0.18
0,40,0,0,-6.4,22.43,0.18
20.8,40,59.87,0,-6.6,5.87,0.18
20.8,40,59.65,8.3,-6.4,6.03,0.18
20.8,40,55.99,51.6,-3.5,8.17,0.25
20.8,40,54.19,82.8,-2.2,9.09,0.25
0,40,0,98.5,-0.9,22.44,0.25
20.8,40,51.12,100.7,-0.1,10.55,0.25
20.8,40,49.77,93.3,0.8,11.17,0.25
20.8,40,48.54,95.8,1.6,11.71,0.25
20.8,40,49.92,83.8,0.7,11.1,0.25
0,40,0,54.3,0.2,22.44,0.25
20.8,40,52.89,4.2,-1.3,9.72,0.25
20.8,40,53.89,0,-2,9.23,0.25
20.8,40,54.04,0,-2.1,9.16,0.25
20.8,40,55.3,0,-3,8.52,0.25
0,40,0,0,-3.4,22.43,0.25
0,40,0,0,-3.2,22.43,0.25
0,40,0,0,-4.1,22.43,0.25
0,40,0,0,-4.8,22.43,0.18
0,40,0,0,-5.7,22.43,0.18
0,40,0,0,-6.3,22.43,0.18
0,40,0,0,-5.8,22.43,0.18
0,40,0,0,-7.1,22.43,0.18
0,40,0,0,-7.9,22.43,0.18
0,40,0,0,-8.4,22.43,0.18
20.8,40,60.75,0,-7.5,5.16,0.18
20.8,40,58.22,10,-5.2,6.93,0.25
20.8,40,55.03,52.4,-2.8,8.66,0.25
20.8,40,52.6,83.4,-1.1,9.86,0.25
0,40,0,98.8,-0.2,22.44,0.25
20.8,40,48.85,99.5,1.4,11.58,0.25
20.8,40,46.83,89,2.7,12.46,0.25
20.8,40,48.38,40.4,1.7,11.78,0.25
20.8,40,48.69,26.9,1.5,11.64,0.25
0,40,0,13,2,22.43,0.25
20.8,40,47.92,1.2,2,11.98,0.25
20.8,40,48.38,0,1.7,11.78,0.25
20.8,40,49,0,1.3,11.51,0.25
20.8,40,49.91,0,0.7,11.1,0.25
0,40,0,0,0.6,22.43,0.25
0,40,0,0,0.6,22.43,0.25
0,40,0,0,0.7,22.43,0.18
0,40,0,0,1,22.43,0.18
0,40,0,0,1,22.43,0.18
0,40,0,0,1.1,22.43,0.18
0,40,0,0,1,22.43,0.18
0,40,0,0,1.1,22.43,0.18
0,40,0,0,1.3,22.43,0.18
0,40,0,0,1.1,22.43,0.18
20.8,40,49.61,0,0.9,11.24,0.25
20.8,40,49.15,1.9,1.2,11.44,0.25
20.8,40,48.69,8.4,1.5,11.64,0.25
20.8,40,48.69,15.2,1.5,11.64,0.25
0,40,0,20.3,1.7,22.43,0.25
20.8,40,47.3,22.8,2.4,12.25,0.25
20.8,40,46.04,43.1,3.2,12.79,0.25
20.8,40,44.62,19.5,4.1,13.39,0.25
20.8,40,44.77,14.1,4,13.33,0.25
0,40,0,7,3.7,22.43,0.25
20.8,40,46.04,1.2,3.2,12.79,0.25
20.8,40,45.88,0,3.3,12.86,0.25
20.8,40,45.88,0,3.3,12.86,0.25
20.8,40,46.04,0,3.2,12.79,0.25
0,40,0,0,4,22.43,0.25
0,40,0,0,4.5,22.43,0.18
0,40,0,0,5.1,22.43,0.18
0,40,0,0,5.1,22.43,0.18
0,40,0,0,5.5,22.43,0.18
0,40,0,0,5.9,22.43,0.18
0,40,0,0,6,22.43,0.18
0,40,0,0,6.2,22.43,0.18
0,40,0,0,6.3,22.43,0.18
0,40,0,0,6.6,22.43,0.25
20.8,40,41.06,0,6.3,14.85,0.25
20.8,40,41.06,13.2,6.3,14.85,0.25
20.8,40,40.9,19,6.4,14.92,0.25
20.8,40,40.9,73.6,6.4,14.92,0.25
0,40,0,97,6.7,22.44,0.25
20.8,40,40.74,101.2,6.5,14.99,0.25
20.8,40,40.74,93.1,6.5,14.99,0.25
20.8,40,40.9,93.7,6.4,14.92,0.25
20.8,40,41.56,80.3,6,14.66,0.25
0,40,0,51.3,5.9,22.44,0.25
20.8,40,42.36,5.1,5.5,14.33,0.25
20.8,40,41.71,0,5.9,14.59,0.25
20.8,40,41.22,0,6.2,14.79,0.25
20.8,40,41.55,0,6,14.66,0.25
0,40,0,0,6.1,22.43,0.18
0,40,0,0,5.7,22.43,0.18
0,40,0,0,5.7,22.43,0.18
0,40,0,0,5.4,22.43,0.18
0,40,0,0,5.4,22.43,0.18
0,40,0,0,1.5,22.43,0.18
0,40,0,0,2.8,22.43,0.18
0,40,0,0,2.9,22.43,0.18
0,40,0,0,1.7,22.43,0.25
0,40,0,0,0.4,22.43,0.25
20.8,40,49.91,0,0.7,11.1,0.25
20.8,40,49.76,13.9,0.8,11.17,0.25
20.8,40,48.23,54.3,1.8,11.85,0.25
20.8,40,46.99,81.3,2.6,12.39,0.25
0,40,0,96.2,3,22.44,0.25
20.8,40,48.54,91.5,1.6,11.71,0.25
20.8,40,45.41,77,3.6,13.06,0.25
20.8,40,45.89,73.7,3.3,12.86,0.25
20.8,40,44.94,82.1,3.9,13.26,0.25
0,40,0,36.1,3.6,22.43,0.25
20.8,40,46.04,4.4,3.2,12.79,0.25
20.8,40,48.23,0,1.8,11.85,0.25
20.8,40,46.67,0,2.8,12.52,0.25
20.8,40,46.2,0,3.1,12.72,0.18
0,40,0,0,3,22.43,0.18
0,40,0,0,3.2,22.43,0.18
0,40,0,0,3.3,22.43,0.18
0,40,0,0,2.9,22.43,0.18
0,40,0,0,2.4,22.43,0.18
0,40,0,0,1.5,22.43,0.18
0,40,0,0,1.9,22.43,0.18
0,40,0,0,1.9,22.43,0.25
0,40,0,0,1.8,22.43,0.25
0,40,0,0,2.1,22.43,0.25
20.8,40,47.76,0,2.1,12.05,0.25
20.8,40,47.3,2.1,2.4,12.25,0.25
20.8,40,46.36,9.3,3,12.66,0.25
20.8,40,44.78,32.4,4,13.33,0.25
0,40,0,41.5,4.8,22.44,0.25
20.8,40,42.53,45.5,5.4,14.26,0.25
20.8,40,42.85,45.1,5.2,14.13,0.25
20.8,40,42.85,20.5,5.2,14.13,0.25
20.8,40,42.2,15,5.6,14.39,0.25
0,40,0,7.7,5.6,22.43,0.25
20.8,40,42.52,1.6,5.4,14.26,0.25
20.8,40,43.01,0,5.1,14.06,0.25
20.8,40,42.69,0,5.3,14.19,0.18
20.8,40,41.55,0,6,14.66,0.18
0,40,0,0,7.5,22.43,0.18
0,40,0,0,7.6,22.43,0.18
0,40,0,0,7.5,22.43,0.18
0,40,0,0,7.5,22.43,0.18
0,40,0,0,7.7,22.43,0.18
0,40,0,0,7.6,22.43,0.18
0,40,0,0,7.7,22.43,0.25
0,40,0,0,7.5,22.43,0.25
0,40,0,0,7.7,22.43,0.25
0,40,0,0,8.2,22.44,0.25
20.8,40,37.92,0,8.2,16.1,0.25
20.8,40,37.92,2.5,8.2,16.1,0.25
20.8,40,37.09,9.3,8.7,16.43,0.25
20.8,40,36.59,16.4,9,16.62,0.25
0,40,0,21.5,9,22.44,0.25
20.8,40,36.59,24,9,16.62,0.25
20.8,40,36.42,23.7,9.1,16.69,0.25
20.8,40,35.91,20.7,9.4,16.88,0.25
20.8,40,36.08,15,9.3,16.82,0.25
0,40,0,7.9,9.1,22.44,0.25
20.8,40,36.75,1.6,8.9,16.56,0.25
20.8,40,37.59,0,8.4,16.23,0.18
20.8,40,38.42,0,7.9,15.9,0.18
20.8,40,39.08,0,7.5,15.64,0.18
0,40,0,0,6.2,22.43,0.18
0,40,0,0,4.5,22.43,0.18
0,40,0,0,4.1,22.43,0.18
0,40,0,0,4.9,22.43,0.18
0,40,0,0,4.2,22.43,0.18
0,40,0,0,4.3,22.43,0.25
0,40,0,0,4.5,22.43,0.25
0,40,0,0,4.9,22.43,0.25
0,40,0,0,4.7,22.43,0.25
0,40,0,0,4.9,22.43,0.25
20.8,40,46.04,0,3.2,12.79,0.25
20.8,40,43.66,18.4,4.7,13.79,0.25
20.8,40,41.22,20.9,6.2,14.79,0.25
20.8,40,39.91,33.5,7,15.32,0.25
0,40,0,42.7,7.7,22.44,0.25
20.8,40,39.75,46.7,7.1,15.38,0.25
20.8,40,39.58,46.3,7.2,15.45,0.25
20.8,40,39.58,40.7,7.2,15.45,0.25
20.8,40,40.08,30.2,6.9,15.25,0.25
0,40,0,15.9,6.3,22.44,0.25
20.8,40,42.2,3.3,5.6,14.39,0.18
20.8,40,42.52,0,5.4,14.26,0.18
20.8,40,42.36,0,5.5,14.33,0.18
20.8,40,42.69,0,5.3,14.19,0.18
0,40,0,0,5.4,22.43,0.18
0,40,0,0,5.7,22.43,0.18
